Token,Contract,Slot,UpdateRatio,Error
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,5,1,
0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,29772918688238309018919246547456357323828465927873189849095851414833172585378,1,
0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0,1,
0x08d967bb0134f2d07f7cfb6e246680c53927dd30,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,0,1,
0x0a913bead80f321e7ac35285ee10d9d922659cb7,0x0a913bead80f321e7ac35285ee10d9d922659cb7,4,1,
0x0ae055097c6d159879521c384f1d2123d1f195e6,0x0ae055097c6d159879521c384f1d2123d1f195e6,1,1,
0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,,,,Error: No valid slots found
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0,1,
0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x0cf0ee63788a0849fe5297f3407f701e122cc023,1,1,
0x0d438f3b5175bebc262bf23753c1e53d03432bde,0x0d438f3b5175bebc262bf23753c1e53d03432bde,0,1,
0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x0d8775f648430679a709e98d2b0cb6250d2887ef,1,1,
0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,4,1,
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1,1,
0x0f7f961648ae6db43c75663ac7e5414eb79b5704,0x0f7f961648ae6db43c75663ac7e5414eb79b5704,0,1,
0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,1,1,
0x12f649a9e821f90bb143089a6e56846945892ffb,0x12f649a9e821f90bb143089a6e56846945892ffb,2,1,
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,268,1,
0x178c820f862b14f316509ec36b13123da19a6054,0x178c820f862b14f316509ec36b13123da19a6054,3,1,
0x1a5f9352af8af974bfc03399e3767df6370d82e4,0x1a5f9352af8af974bfc03399e3767df6370d82e4,1,1,
0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06,0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06,6,1,
0x196f4727526ea7fb1e17b2071b3d8eaa38486988,0xb8bf093045d5f2e4aac9062bd11a8f599f6565b5,3,1,
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,5,1,
0x20f7a3ddf244dc9299975b4da1c39f8d5d75f05a,0x20f7a3ddf244dc9299975b4da1c39f8d5d75f05a,0,1,
0x221657776846890989a759ba2973e427dff5c9bb,0x221657776846890989a759ba2973e427dff5c9bb,1,1,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0,1,
0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,1,1,
0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x27054b13b1b798b345b591a4d22e6562d47ea75a,1,1,
0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0,1,
0x28dee01d53fed0edf5f6e310bf8ef9311513ae40,0x28dee01d53fed0edf5f6e310bf8ef9311513ae40,6,1,
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0,1,
0x2ba592f78db6436527729929aaf6c908497cb200,0x2ba592f78db6436527729929aaf6c908497cb200,1,0.000000000280290663284001,
0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,8,1,
0x301c755ba0fca00b1923768fffb3df7f4e63af31,,,,Error: No valid slots found
0x309627af60f0926daa6041b8279484312f2bf060,0x309627af60f0926daa6041b8279484312f2bf060,7,1,
0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,0,1,
0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,1,1,
0x3c6ff50c9ec362efa359317009428d52115fe643,0x3c6ff50c9ec362efa359317009428d52115fe643,8,1,
0x408e41876cccdc0f92210600ef50372656052a38,0x408e41876cccdc0f92210600ef50372656052a38,1,1,
0x40fd72257597aa14c7231a7b1aaa29fce868f677,0x40fd72257597aa14c7231a7b1aaa29fce868f677,0,1,
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,0xe6a51bd48f93abcd6c1d532112094044971d8d4e,3,1,
0x41e5560054824ea6b0732e656e3ad64e20e94e45,0x41e5560054824ea6b0732e656e3ad64e20e94e45,1,1,
0x42d6622dece394b54999fbd73d108123806f6a18,0x42d6622dece394b54999fbd73d108123806f6a18,1,1,
0x43044f861ec040db59a7e324c40507addb673142,0x43044f861ec040db59a7e324c40507addb673142,1,1,
0xfef4185594457050cc9c23980d301908fe057bb1,0xfef4185594457050cc9c23980d301908fe057bb1,2,1,
0x456ae45c0ce901e2e7c99c0718031cec0a7a59ff,0x456ae45c0ce901e2e7c99c0718031cec0a7a59ff,0,1,
0x49184e6dae8c8ecd89d8bdc1b950c597b8167c90,0x49184e6dae8c8ecd89d8bdc1b950c597b8167c90,0,1,
0x4946fcea7c692606e8908002e55a582af44ac121,0x4946fcea7c692606e8908002e55a582af44ac121,1,1,
0x4a220e6096b25eadb88358cb44068a3248254675,0x4a220e6096b25eadb88358cb44068a3248254675,0,1,
0x4c327471c44b2dacd6e90525f9d629bd2e4f662c,0x4c327471c44b2dacd6e90525f9d629bd2e4f662c,0,1,
0x4da9b813057d04baef4e5800e36083717b4a0341,,,,Error: No valid slots found
0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,151,1,
0x4fabb145d64652a948d72533023f6e7a623c7c53,0x4fabb145d64652a948d72533023f6e7a623c7c53,1,1,
0x514910771af9ca656af840dff83e8264ecf986ca,0x514910771af9ca656af840dff83e8264ecf986ca,1,1,
0x543ff227f64aa17ea132bf9886cab5db55dcaddf,0x543ff227f64aa17ea132bf9886cab5db55dcaddf,0,1,
0x56d811088235f11c8920698a204a5010a788f4b3,,,,Error: No valid slots found
0x5732046a883704404f284ce41ffadd5b007fd668,0x5732046a883704404f284ce41ffadd5b007fd668,4,1,
0x57700244b20f84799a31c6c96dadff373ca9d6c5,0x57700244b20f84799a31c6c96dadff373ca9d6c5,0,1,
0x58b6a8a3302369daec383334672404ee733ab239,0x58b6a8a3302369daec383334672404ee733ab239,1,1,
0x595832f8fc6bf59c85c527fec3740a1b7a361269,0x595832f8fc6bf59c85c527fec3740a1b7a361269,0,1,
0x5adc961d6ac3f7062d2ea45fefb8d8167d44b190,0x5adc961d6ac3f7062d2ea45fefb8d8167d44b190,3,1,
0x5c872500c00565505f3624ab435c222e558e9ff8,0x5c872500c00565505f3624ab435c222e558e9ff8,0,1,
0x5caf454ba92e6f2c929df14667ee360ed9fd5b26,0x5caf454ba92e6f2c929df14667ee360ed9fd5b26,3,1,
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,14,1,
0x5d60d8d7ef6d37e16ebabc324de3be57f135e0bc,0x5d60d8d7ef6d37e16ebabc324de3be57f135e0bc,1,1,
0x607c794cda77efb21f8848b7910ecf27451ae842,0x607c794cda77efb21f8848b7910ecf27451ae842,0,1,
0x607f4c5bb672230e8672085532f7e901544a7375,0x607f4c5bb672230e8672085532f7e901544a7375,9,1,
0x6226caa1857afbc6dfb6ca66071eb241228031a1,0x6226caa1857afbc6dfb6ca66071eb241228031a1,4,1,
0x6251e725cd45fb1af99354035a414a2c0890b929,0x6251e725cd45fb1af99354035a414a2c0890b929,2,1,
0x625ae63000f46200499120b906716420bd059240,0x625ae63000f46200499120b906716420bd059240,0,1.258186107505484,
0x6710c63432a2de02954fc0f851db07146a6c0312,0x331d077518216c07c87f4f18ba64cd384c411f84,4,0,
0x6810e776880c02933d47db1b9fc05908e5386b96,0x6810e776880c02933d47db1b9fc05908e5386b96,0,1,
0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,1,1,
0x6b785a0322126826d8226d77e173d75dafb84d11,0x6b785a0322126826d8226d77e173d75dafb84d11,0,1,
0x6b9f031d718dded0d681c20cb754f97b3bb81b78,0x6b9f031d718dded0d681c20cb754f97b3bb81b78,9,1,
0x6c6ee5e31d828de241282b9606c8e98ea48526e2,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,2,1,
0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,0,1,
0x71fc860f7d3a592a4a98740e39db31d25db65ae8,,,,Error: No valid slots found
0x737f98ac8ca59f2c68ad658e3c3d8c8963e40a4c,0x737f98ac8ca59f2c68ad658e3c3d8c8963e40a4c,0,1,
0x744d70fdbe2ba4cf95131626614a1763df805b9e,,,,Error: No valid slots found
0x7b0c06043468469967dba22d1af33d77d44056c8,0x7b0c06043468469967dba22d1af33d77d44056c8,0,1,
0x7b123f53421b1bf8533339bfbdc7c98aa94163db,0x7b123f53421b1bf8533339bfbdc7c98aa94163db,0,1,
0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,3,1,
0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0,1,
0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0,1,
0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,1,1,
0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0,1,
0x821144518dfe9e7b44fcf4d0824e15e8390d4637,0x821144518dfe9e7b44fcf4d0824e15e8390d4637,0,1,
0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,0x331d077518216c07c87f4f18ba64cd384c411f84,4,0,
0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0,1,
0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0,1,
0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,2,1,
0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0x45030f6c588d17bbf07318eb49aabab3effb63bd,2,1,
0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,6,1,
0x8e870d67f660d95d5be530380d0ec0bd388289e1,0x8e870d67f660d95d5be530380d0ec0bd388289e1,1,1,
0x8eb24319393716668d768dcec29356ae9cffe285,0x8eb24319393716668d768dcec29356ae9cffe285,1,1,
0x8f8221afbb33998d8584a2b05749ba73c37a938a,0x8f8221afbb33998d8584a2b05749ba73c37a938a,1,1,
0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,3,1,
0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,8,0,
0x95172ccbe8344fecd73d0a30f54123652981bd6f,0x95172ccbe8344fecd73d0a30f54123652981bd6f,1,1,
0x960b236a07cf122663c4303350609a66a7b288c0,,,,Error: No valid slots found

